pair,x_found_m,kL_found,x_true_m,blockage_frac,cells_blocked,kL_true,V_found_ms,posError_m,kL_pctError,rounds,simSeconds
pair-01,4.500,0.1378,4.70,0.1111,2,0.1646,3.3588,-0.200,-16.3,3,60.02
pair-02,4.967,0.3951,4.85,0.1667,3,0.4144,3.2823,0.117,-4.7,3,60.02
pair-03,5.433,0.1299,5.60,0.1111,2,0.1445,3.3435,-0.167,-10.1,3,60.02
pair-04,5.900,0.3138,6.10,0.1667,3,0.3940,3.2694,-0.200,-20.4,3,60.02
pair-05,6.833,0.1549,6.85,0.1111,2,0.1503,3.3316,-0.017,3.1,3,60.02
pair-06,6.833,0.3740,6.95,0.1667,3,0.4033,3.2443,-0.117,-7.3,3,60.02
