student,digit,scene,q,level,tail,d1,V1,E1,dc,dzpred,dzc,dzc_cells,frCrestMed,frCrestMax,precells,d1_prechoke,e1_prechoke,dzpred_star,source
sim01,0,sandbox,0.15,1.0,1.0,0.4986,0.3008,0.5032,0.1319,0.3054,0.587,27,0.964,0.997,24,0.7324,0.7345,0.5367,measured
sim02,1,sandbox,0.2,1.0,1.0,0.4988,0.401,0.507,0.1598,0.2674,0.5,23,0.99,1.102,21,0.7163,0.7203,0.4806,measured
sim03,2,sandbox,0.25,1.0,1.0,0.5008,0.4992,0.5135,0.1854,0.2354,0.4565,21,1.01,1.121,19,0.7159,0.7221,0.444,measured
sim04,3,sandbox,0.3,1.0,1.0,0.5045,0.5946,0.5225,0.2093,0.2085,0.3913,18,1.01,1.09,16,0.694,0.7035,0.3896,measured
sim05,4,sandbox,0.35,1.0,1.0,0.5172,0.6767,0.5405,0.232,0.1925,0.3696,17,0.995,1.097,15,0.7073,0.7198,0.3718,measured
sim06,5,sandbox,0.4,1.0,1.0,0.52,0.7692,0.5502,0.2536,0.1698,0.3261,15,0.961,1.126,14,0.7185,0.7343,0.3539,measured
sim07,6,sandbox,0.45,1.0,1.0,0.5382,0.8361,0.5738,0.2743,0.1624,0.3043,14,0.941,1.035,13,0.7275,0.747,0.3356,measured
sim08,7,sandbox,0.5,1.0,1.0,0.5312,0.9413,0.5764,0.2943,0.1349,0.2609,12,0.948,1.036,11,0.7101,0.7354,0.29395,measured
sim09,8,sandbox,0.55,1.0,1.0,0.5323,1.0333,0.5867,0.3136,0.1163,0.2174,10,0.905,0.968,9,0.6889,0.7214,0.251,measured
