student,digit,d,scene,q,level,d_c,d_crest,d_brink,d_crest_over_dc,d_brink_over_dc,crit_x,dist_to_lip_dc,t_settle,source
sim00,0,0,sandbox+FB2rig,0.15,1.1824,0.1319,0.1728,0.1078,1.3103,0.8174,7.2826,0.890,55.01,measured
sim01,1,1,sandbox+FB2rig,0.20,1.2284,0.1598,0.2114,0.1357,1.3232,0.8494,7.2826,0.735,55.01,measured
sim02,2,2,sandbox+FB2rig,0.25,1.2707,0.1854,0.2379,0.1588,1.2833,0.8566,7.2826,0.633,55.01,measured
sim03,3,3,sandbox+FB2rig,0.30,1.3102,0.2093,0.2644,0.1845,1.2630,0.8813,7.2826,0.561,55.01,measured
sim04,4,4,sandbox+FB2rig,0.35,1.3476,0.2320,0.2714,0.1940,1.1698,0.8362,7.2174,0.787,65.01,measured
sim05,5,5,sandbox+FB2rig,0.40,1.3832,0.2536,0.2991,0.2159,1.1794,0.8513,7.1739,0.892,55.01,measured
sim06,6,6,sandbox+FB2rig,0.45,1.4174,0.2743,0.3190,0.2261,1.1629,0.8242,7.1304,0.983,55.01,measured
sim07,7,7,sandbox+FB2rig,0.50,1.4503,0.2943,0.3494,0.2469,1.1873,0.8390,7.1304,0.916,55.01,measured
sim08,8,8,sandbox+FB2rig,0.55,1.4822,0.3136,0.3727,0.2602,1.1885,0.8298,7.1087,0.929,55.01,measured
